GpsCycle,GpsWeek,GpsToW[s],TimeStartup[ns],UnCompAccX[m/s^2],UnCompAccY[m/s^2],UnCompAccZ[m/s^2],UnCompGyroX[rad/s],UnCompGyroY[rad/s],UnCompGyroZ[rad/s]
1,18,519419.3,1006300000000,7.38179974e-08,-0.0200000224,0.0337762946,2.11570577e-05,6.96279579e-05,-0.02
1,18,519419.4,1006400000000,7.33751728e-08,-0.0200000221,0.0337762102,2.10174388e-05,6.96701315e-05,-0.02
1,18,519419.5,1006500000000,7.29311744e-08,-0.0200000218,0.0337761264,2.08777358e-05,6.97120252e-05,-0.02
1,18,519419.6,1006600000000,7.2486009e-08,-0.0200000215,0.0337760432,2.07379493e-05,6.975364e-05,-0.02
1,18,519419.7,1006700000000,7.20396838e-08,-0.0200000212,0.0337759605,2.05980798e-05,6.97949749e-05,-0.02
1,18,519419.8,1006800000000,7.1592206e-08,-0.0200000209,0.0337758784,2.04581279e-05,6.98360299e-05,-0.02
1,18,519419.9,1006900000000,7.11435827e-08,-0.0200000206,0.0337757969,2.03180941e-05,6.9876805e-05,-0.02
1,18,519420,1007000000000,7.06938211e-08,-0.0200000204,0.0337757159,2.01779791e-05,6.99173e-05,-0.02
1,18,519420.1,1007100000000,7.02429285e-08,-0.0200000201,0.0337756354,2.00377833e-05,6.99575147e-05,-0.02
1,18,519420.2,1007200000000,6.97909119e-08,-0.0200000198,0.0337755556,1.98975074e-05,6.99974489e-05,-0.02
1,18,519420.3,1007300000000,6.93377787e-08,-0.0200000195,0.0337754763,1.97571519e-05,7.00371022e-05,-0.02
1,18,519420.4,1007400000000,6.88835361e-08,-0.0200000192,0.0337753975,1.96167173e-05,7.0076475e-05,-0.02
1,18,519420.5,1007500000000,6.84281913e-08,-0.020000019,0.0337753193,1.94762043e-05,7.01155672e-05,-0.02
1,18,519420.6,1007600000000,6.79717517e-08,-0.0200000187,0.0337752417,1.93356133e-05,7.01543777e-05,-0.02
1,18,519420.7,1007700000000,6.75142246e-08,-0.0200000184,0.0337751647,1.9194945e-05,7.01929072e-05,-0.02
1,18,519420.8,1007800000000,6.70556172e-08,-0.0200000182,0.0337750882,1.90541999e-05,7.02311554e-05,-0.02
1,18,519420.9,1007900000000,6.6595937e-08,-0.0200000179,0.0337750122,1.89133786e-05,7.0269122e-05,-0.02
1,18,519421,1008000000000,6.61351912e-08,-0.0200000176,0.0337749369,1.87724816e-05,7.03068066e-05,-0.02
1,18,519421.1,1008100000000,6.56733872e-08,-0.0200000174,0.0337748621,1.86315095e-05,7.03442096e-05,-0.02
1,18,519421.2,1008200000000,6.52105325e-08,-0.0200000171,0.0337747878,1.84904628e-05,7.03813306e-05,-0.02
1,18,519421.3,1008300000000,6.47466344e-08,-0.0200000168,0.0337747142,1.83493422e-05,7.04181692e-05,-0.02
1,18,519421.4,1008400000000,6.42817004e-08,-0.0200000166,0.033774641,1.82081482e-05,7.04547258e-05,-0.02
1,18,519421.5,1008500000000,6.38157378e-08,-0.0200000163,0.0337745685,1.80668813e-05,7.04909997e-05,-0.02
1,18,519421.6,1008600000000,6.33487542e-08,-0.0200000161,0.0337744965,1.79255421e-05,7.05269912e-05,-0.02
1,18,519421.7,1008700000000,6.28807571e-08,-0.0200000158,0.0337744251,1.77841313e-05,7.05627e-05,-0.02
1,18,519421.8,1008800000000,6.24117538e-08,-0.0200000156,0.0337743542,1.76426492e-05,7.05981259e-05,-0.02
1,18,519421.9,1008900000000,6.19417519e-08,-0.0200000153,0.033774284,1.75010966e-05,7.06332686e-05,-0.02
1,18,519422,1009000000000,6.1470759e-08,-0.0200000151,0.0337742142,1.7359474e-05,7.0668128e-05,-0.02
1,18,519422.1,1009100000000,6.09987826e-08,-0.0200000148,0.0337741451,1.7217782e-05,7.07027045e-05,-0.02
1,18,519422.2,1009200000000,6.05258301e-08,-0.0200000146,0.0337740765,1.7076021e-05,7.07369972e-05,-0.02
1,18,519422.3,1009300000000,6.00519093e-08,-0.0200000143,0.0337740085,1.69341918e-05,7.07710067e-05,-0.02
